Data;Fechamento;Abertura;Maxima;Minima;Var%
04032002;5245.84;5107.87;5265.35;5107.87;2.91%
05032002;5228.67;5245.71;5284.39;5208.86;-0.33%
06032002;5285.26;5223.85;5296.95;5197.32;1.08%
07032002;5289.43;5293.48;5370.45;5267.79;0.08%
08032002;5359.55;5293.18;5376.23;5288.87;1.33%
11032002;5340.67;5360.04;5401.06;5298.48;-0.35%
12032002;5275.81;5338.74;5338.74;5245.18;-1.21%
13032002;5245.99;5276.78;5335.27;5238.80;-0.57%
14032002;5276.87;5245.80;5293.48;5233.66;0.59%
15032002;5401.11;5270.86;5403.28;5253.16;2.35%
18032002;5426.04;5399.15;5465.29;5392.13;0.46%
19032002;5462.55;5430.71;5467.31;5413.06;0.67%
20032002;5364.70;5453.95;5453.95;5355.32;-1.79%
21032002;5348.68;5357.23;5387.87;5312.03;-0.30%
22032002;5366.13;5348.33;5401.82;5331.00;0.33%
25032002;5317.38;5361.20;5400.43;5306.44;-0.91%
26032002;5390.59;5314.02;5398.80;5289.93;1.38%
27032002;5348.00;5384.68;5388.68;5332.84;-0.79%
28032002;5397.29;5350.26;5424.52;5350.26;0.92%
02042002;5311.08;5379.64;5379.64;5289.80;-1.60%
03042002;5281.84;5293.37;5322.55;5266.06;-0.55%
04042002;5254.95;5284.20;5290.12;5211.74;-0.51%
05042002;5260.53;5250.48;5293.28;5235.10;0.11%
08042002;5180.33;5261.37;5261.37;5128.02;-1.52%
09042002;5170.25;5194.09;5228.22;5166.24;-0.19%
10042002;5265.36;5169.99;5274.28;5139.01;1.84%
11042002;5162.96;5270.35;5290.87;5162.07;-1.94%
12042002;5189.65;5165.31;5211.82;5148.85;0.52%
15042002;5244.20;5194.94;5244.20;5167.19;1.05%
16042002;5343.88;5250.19;5343.88;5246.98;1.90%
17042002;5318.55;5357.91;5378.27;5311.23;-0.47%
18042002;5262.88;5316.53;5372.46;5194.18;-1.05%
19042002;5284.55;5263.48;5288.84;5222.22;0.41%
22042002;5205.48;5285.42;5285.42;5173.68;-1.50%
23042002;5192.10;5211.73;5246.18;5147.87;-0.26%
24042002;5160.14;5187.13;5220.58;5144.19;-0.62%
25042002;5054.41;5158.66;5166.98;5012.86;-2.05%
26042002;5000.38;5064.79;5097.85;4984.62;-1.07%
29042002;5008.04;4994.20;5008.04;4945.42;0.15%
30042002;5041.20;5007.24;5041.20;4929.35;0.66%
02052002;4964.56;5043.01;5066.97;4952.16;-1.52%
03052002;4882.77;4958.78;5021.74;4872.19;-1.65%
06052002;4880.67;4884.03;4926.78;4876.58;-0.04%
07052002;4872.41;4875.35;4892.43;4773.49;-0.17%
08052002;5028.59;4878.74;5028.59;4878.74;3.21%
09052002;4966.48;5023.98;5026.09;4952.41;-1.24%
10052002;4871.70;4961.03;4964.14;4849.09;-1.91%
13052002;4975.48;4861.15;4988.40;4832.86;2.13%
14052002;5049.08;4981.88;5068.42;4956.01;1.48%
15052002;5072.39;5062.10;5085.21;5001.42;0.46%
16052002;5047.45;5066.83;5101.12;5032.08;-0.49%
17052002;5036.41;5057.96;5126.33;5021.91;-0.22%
20052002;4998.99;5046.17;5059.42;4984.54;-0.74%
21052002;4984.61;4993.43;5057.82;4948.05;-0.29%
22052002;4919.50;4971.31;4996.57;4889.33;-1.31%
23052002;4879.50;4925.05;4952.14;4859.54;-0.81%
24052002;4899.13;4890.46;4937.48;4880.55;0.40%
27052002;4961.54;4896.84;4972.21;4896.84;1.27%
28052002;4918.58;4969.35;5016.11;4892.75;-0.87%
29052002;4881.80;4914.54;4914.54;4855.25;-0.75%
30052002;4761.96;4873.60;4873.60;4741.95;-2.45%
31052002;4818.30;4765.92;4859.01;4765.92;1.18%
03062002;4747.95;4818.07;4850.38;4725.88;-1.46%
04062002;4625.79;4731.24;4731.24;4580.92;-2.57%
05062002;4624.31;4632.49;4685.07;4602.15;-0.03%
06062002;4657.52;4634.22;4716.35;4617.43;0.72%
07062002;4610.18;4630.43;4630.43;4513.00;-1.02%
10062002;4589.26;4617.19;4659.22;4544.77;-0.45%
11062002;4606.09;4587.10;4686.13;4555.17;0.37%
12062002;4510.19;4599.06;4599.06;4480.99;-2.08%
13062002;4470.14;4517.44;4584.57;4441.65;-0.89%
